Sr No,Tweet,Sentiment
48Positive7,"UPDATE SOUTH-AMERICA:Today, no infections have been reported in SA. ?Total cases: 0 (-)#coronavirus https://t.co/sgpNegative7BHpIb https://t.co/v9rNGbvIlF https://t.co/CjNegativeoxiDJXC",Positive
48Positive8,"Breaking News: 
New numbers on the continuing tragic spread of #coronavirus in China. These are day over day increases in the running totals, reflecting additional reporting over the last Neutral4 hours: 

Cases: 9,69Neutral ?? NegativeNegative,79Negative
Deaths: NeutralNegativePositive ?? Neutral56 #coronarovirus",Positive
48Positive9,"#Chinese authorities limited the use of testing kit for #Coronavirus to limit the confirmed cases. World should not quote the Chinese official numbers because they are misleading. 

Dr. @SeanLinWQER, former Lab Dir of Walter Reed Army Institute:

??LIVE: https://t.co/lEjLyIUmYh https://t.co/u0gLOujTyY",Positive
4840,"Hey guys ... Hey girls... #Wuhan
HATE THE VIRUS... #coronavirus
NOT THE CHINESE... #China
let's pray for them instead...?? https://t.co/wDLiADcKi4",Neutral
484Negative,"New numbers on the continuing tragic spread of #coronavirus in China. These are day over day increases in the running totals, reflecting additional reporting over the last Neutral4 hours: 

Cases: 9,69Neutral ?? NegativeNegative,79Negative
Deaths: NeutralNegativePositive ?? Neutral56
Severe: Negative,5Neutral7 ?? Negative,795
Suspected: Negative5,NeutralPositive8 ?? Negative7,988",Positive
484Neutral,"?? LIVE PODCAST: A Trip to Houston, Wrestling, The Coronavirus, and the Flu on @Spreaker #bad_week #coronavirus #flu #storytelling #wrestling https://t.co/RVkQnRwLWt",Neutral
484Positive,"IÕm no mathematician, but this doesnÕt sound like a Neutral% kill rate to me ??
#coronavirus",Neutral
4844,"New numbers on the continuing tragic spread of #coronavirus in China. These are day over day increases in the running totals, reflecting additional reporting over the last Neutral4 hours: 

Cases: 9,69Neutral ?? NegativeNegative,79Negative
Deaths: NeutralNegativePositive ?? Neutral59
Severe: Negative,5Neutral7 ?? Negative,795
Suspected: Negative5,NeutralPositive8 ?? Negative7,988",Positive
4845,"Twitter has banned @zerohedge.

Their last tweet tonight was about #nCoVNegative9 #Coronavirus, apparently referencing this Nature article, which now contains an update note, about the Wuhan biosafety level-4 lab (BSL-4).
#BSL4??
#PHEIC

https://t.co/FAokJoRNrz https://t.co/iXmrbJG4Rm",Neutral
4846,"#Brexit, #Impeachment and #ScottMorrison making people pay to travel to be treated for the #coronavirus Coming on to say, I wont be coming for at a good week. ?? storm!lol #GOPCowards Nothing says ""I'm innocent"" Then doing everything in your power NOT to prove your #innocence.",Neutral
4847,Boarding a plane. About to test out my theory that I can hold my breath for an hour and a half so I donÕt catch #coronavirus Wish me luck! ??,Neutral
4848,The media blew up the SARS breakout but yet underreporting #coronavirus ??,Neutral
4849,"?? #CoronavirusOutbreak
The Corona virus is fast spreading, Let us take precaution.
HereÕs what you need to know about  #CoronaVirus .
Please share, we all need to Know this.......
To Save ourselves and Others. https://t.co/KeMINeutralGJOkt",Negative
4850,Negativest of january vs PositiveNegativest of january ?? #Brexit #Impeachment #WWPositive #WW6 #coronavirus #AustraliaFires #Earthquakes #Flooding #TaalVolcano https://t.co/TjwiaGOpYx,Neutral
485Negative,"No bat ?? soup for you!
#ZeroHedge banned from Twitter after BuzzFeed accuses it of #coronavirus conspiracy and ÔdoxxingÕ a Chinese scientists",Neutral
485Neutral,i feel like this #coronavirus ?? is gonna start slowly but then it will hit us all at once,Neutral
485Positive,"If I'm already on PrEP, does that mean I'm immune to #coronavirus? ??????",Neutral
4854,"#coronavirus Biological warfare created by Budweiser, Michelob and Busch. ?????? https://t.co/tTnrGR6jlK",Neutral
4855,"Good News! ??
#CoronaVirus https://t.co/cSTah5zvJP",Negative
4856,"Hey Patriots! I ainÕt worried about no #CoronaVirus! I drink #DosEquis!
???????????????????????? https://t.co/GpZIqzwQ7r",Negative
4857,"Australia Forest Fires
Philippines volcano
Kobe Death
#coronavirus

January Neutral0Neutral0 ?? https://t.co/AUwBSWPaSD",Positive
4858,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness??

These are the latest confirmed updates from the database.
??????????????
?? Infected: NegativeNegativePositive74
?? Deaths: Neutral59
? Recovered: Neutral5Neutral
?????????????? https://t.co/MvteDPositiveNegativez4B",Positive
4859,"Are you AFRAID of the ??Coronavirus Outbreak? | shared via eSteem Surfer https://t.co/W4o59B9UGd
#china #coronavirus #steem",Negative
4860,"IÕm really scared. Just Positive days ago I told my husband whoÕs a pharmacist about all this #coronavirus stuff happening, and he was like nothing to worry about. ÒItÕs fear mongering.Ó Now that he read a couple articles regarding HIV being involved and HIV meds, heÕs like Òscary??Ó https://t.co/THgsMMV5hY",Neutral
486Negative,"4th #coronavirus case in Victoria, #Australia via @kcostalos, @Negative0NewsFirstMelb ??

#Melbourne #nCoVNeutral0Negative9 #NovelCoronavirus #WuhanCoronavirusOutbreak",Neutral
486Neutral,"?? Watch this #Patriots!!!???? only 6 min
HOW TO KILL THE #CORONAVIRUS Period 
https://t.co/QvPositivefoSMjD6",Positive
486Positive,"An extremely painful video ?? 
We donÕt deserve this ?? 
#coronavirus #CoronavirusOutbreak #PrayForChina #coronaviruswuhan #Neutral0Negative9nCoV #China #Wuhan #WuhanCoronavirus #ChinaVirus #WuhanPneumonia #CoronaOutbreak https://t.co/iCK8kgq46u",Neutral
4864,"Healthy human body armed with a strong #ImmuneSystem is a #CORONAVIRUS-KILLING-MACHINE ? https://t.co/gAws9J8gRk 

#Tamoikin #Immunity #Viruses #Virus #Epidemic #Survival #WinterSwimming #ColdWaterSwimming #PreventiveMedicine #Wuhan",Neutral
4865,The #Coronavirus is now in the #BayArea. ??,Neutral
4866,why is #coronavirus trending in california ?????? https://t.co/S6H5jATPPositiveQ,Neutral
4867,The yt comments for the coronavirus r ?? #coronarovirus #coronavirus https://t.co/sLdkhRCNeutralVs,Neutral
4868,"#Coronavirus,It's an #Azaab from the Al-Mighty to China for what they did with #Uyghur #Muslims,and it's a #Warning from Lord to #ModiGovt,@PMOIndia,God gave you limited time to be the best,but you're wasting it,soon your days gonna be reflected.
#IndiaAgainstCAA
@asadowaisi
???????",Positive
4869,"Healthy human body armed with a strong #ImmuneSystem is a #CORONAVIRUS-KILLING-MACHINE ? https://t.co/gAws9J8gRk 

#Tamoikin #Immunity #Viruses #Virus #Epidemic #Survival #Wuhan #China #PreventiveMedicine #WinterSwimming #ColdWaterSwimming #WimHof @Iceman_Hof",Negative
4870,"""Wait, WHAT?! ??"" - Europe, Survivor - Black Death of NegativePositive47. 

#coronavirus",Neutral
487Negative,"Hey Mahadev?? Save my country India from this monster Virus!
#CoronaVirus",Negative
487Neutral,"The world ?? is watching the new #coronavirus case from #ChinaOutbreak in Japan, latest discovery of the virus &amp; the govt ban of entry measure - Fuji TV (???????) morning news

#?? #?? #?? #????? #???? #???? #????????? #???? #???? https://t.co/v9Klvt6hPositiver",Negative
487Positive,"[POLL] Have you purchased a mask ?? to help protect yourself from the #coronavirus? 

#Corona #VirusCorona #wuhan #China #ChinaVirus #ChinaCoronaVirus #WuhanCoronavirus #WuhanFlu #WuhanVirus #CoronavirusOutbreak",Neutral
4874,"4th case of #coronavirus #australia in #Victoria 
She flew in on the Neutral7th from China 
Got sick on the Neutral9th 
Govt said she wasn't contagious?? ??
Are they fucking kidding?
We are again living with @LiberalAus #ScottyfromMarketing incompetence ??
#auspol",Neutral
4875,yÕall stay safe with this #coronavirus it spreads person to person and you donÕt get symptoms??,Neutral
4876,Welding the doors shut.  Is this real? ?? #CoronavirusOutbreak,Neutral
4877,"#Update
??#TrackingTheVirus?? NegativeNegativeam EST Jan PositiveNegativest
#WuhanVirus #WuhanOutbreak
#wuhanquarantine #CoronavirusOutbreak Currently NegativeNegative,950 confirmed #worldwide, including Neutral50 #fatalities. #Neutral0Negative9nCoV #pandemic
#PneumonicPlague #Epidemic #coronavirus #WuhanFlu
#Wuhan
 https://t.co/BUdhh5qZob",Neutral
4878,"NegativeNegativePositive74, with India: Negative, and this is perhaps the biggest threat of all.  #coronavirusindia #coronavirus ??????

Live map/data: https://t.co/sadWUULNgL https://t.co/nsdVui4Rkh",Neutral
4879,"RIP me, right? ?? #CoronavirusOutbreak #Coronavirus #CoronavirusUK #TikTok #York #Comedy https://t.co/vJ0vJnPH9V",Neutral
4880,"Confirmed cases : NegativeNegative,945 ( worldwide ??)
Deaths : Neutral59 ( worldwide ?? )

#CoronaVirus #CoronavirusOutbreak  #WuhanOutbreak https://t.co/CyCX6rbcTn",Neutral
488Negative,"if #coronavirus was a political party it would be called ""BJP""...??????
.
#Andhbhakti roke se nhi ruk rahi????",Negative
488Neutral,People!! The #CoronaVirus has nothing to do @corona beer ???? (This level of stupidity causes crazy things to happen i.e. #BREXIT) https://t.co/ElJCflSBsh,Negative
488Positive,"Hong Kong governmentÕs response to Wuhan Flu #CoronaVirus is the same as extradition bill #antiELAB Ñ 
Extradition Bill: Not withdraw ?? temporary withdraw ?? dead ?? official withdrawn
Coronavirus: No border closure ?? partial closure?? closed ?? dead (too late).",Negative
4884,Must read by @sciencemagazine for anyone who wants to learn about origins of the #coronavirus outbreak. A lot of #misinformation out there. Educate yourself! ????,Negative
4885,People!! The #CoronaVirus has nothing to do with ?@corona? beer ???? (This level of stupidity causes crazy things to happen i.e. #BREXIT) ?? https://t.co/ElJCflSBsh,Negative
4886,"#GoogleMaps 
The #coronavirus can be tracked with this link.
Neutral59 Dead??? Negative0k infected
??????????????
#usa #retweet
#CDC
#CoronavirusOutbreak
#Wuhan #WuhanCoronavirusOutbreak
#wuhanconoravirus
 ??????https://t.co/VUDraZKvrC https://t.co/ua68L8WEuZ",Neutral
4887,"Are they not afraid of the CORONA virus?  Do you look like them?
.
.
.
.
.
.
.
.
#corona #viruscorona #coronavirus #corona??
 #editingtrends #happy #fashion #love #monkey #nature #followme #photography #style #fitnessÉ https://t.co/RWGZH0NONeutral6",Positive
4888,"It's about time, suddenly feel healthier #coronavirus #apocalypse #outbreak ????????? https://t.co/Edb9fPFuja",Negative
4889,"Dear World

Do not panic anymore, #Coronavirus can be treated by cow urine, dung: Hindu Mahasabha president gave a certified treatment. Half of India is curing from it so please don't waste energy and money on vaccination????

Contact ????
via @indiatvnews https://t.co/vY6vMeuZMl",Negative
4890,"Good news! Twenty #coronavirus patients treated in #Wuhan Jinyintan Hospital have reached the discharge standard and discharged together! 
Congratulations to them!?? https://t.co/qgb7hQQwZx",Negative
489Negative,"USA kills Iranian Major General, All of a sudden World #coronavirus outbreak ?? https://t.co/gRAgU4M047",Neutral
489Neutral,"It's about time, suddenly feel healthier ? #coronavirus #apocalypse ? #outbreak ??  https://t.co/Edb9fPFuja",Neutral
489Positive,"This is not a #coronavirus, this is a bacteriophage, a corona discharge bacteriophage  ??",Neutral
4894,"It's about time, suddenly feel healthier #coronavirus ? #apocalypse ? #outbreak ??  https://t.co/Edb9fPFuja",Negative
4895,"Cowrona Virus that Kills #CoronaVirus very quickly ???? 

For all the Diseases and Viruses existing in the World, There is Only One medicine to get cure from them, is Cowrona Virus
????",Neutral
4896,When February Negativest hits after a long ass month of January ?? #CoronaVirus #BrexitDay #WWIIl #AustralianBushfire https://t.co/ClccZIYLlNeutral,Neutral
4897,Maybe I should avoid big crowds ?? #coronavirus https://t.co/SNNY7NegativeKzXPositive,Negative
4898,"Attention everyone. Vogue wants us to stop freaking out about the #Coronavirus with a Òhappy lampÓ, £Neutral5 hand sanitizer and £Positive0 essential oils. Apparently a global health emergency is a great opportunity for product placement ?????",Negative
4899,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness??

These are the latest confirmed updates from the database.
??????????????
?? Infected: NegativeNegativePositive74
?? Deaths: Neutral59
? Recovered: Neutral5Neutral
?????????????? https://t.co/DFrNeutral7vgtyz",Positive
4900,"Think about #CoronaVirus then read this. ?@SenateGOP? just emboldened this IDIOT 

TRUMP Cuts to Prevention and Public Health Fund Puts CDC [Center For Disease Control] Programs at Risk | The Scientist Magazine¨ https://t.co/nNegativeZI5WPositiveF4F",Neutral
490Negative,An extremely painful video ?? We donÕt deserve this ?? #coronavirus #CoronavirusOutbreak #PrayForChina #coronaviruswuhan #Neutral0Negative9nCoV #China #Wuhan #WuhanCoronavirus #ChinaVirus #WuhanPneumonia #CoronaOutbreak https://t.co/rsNegativeBBWwx48 https://t.co/WkAC4GpEgb https://t.co/O8fH86sZNd,Neutral
490Neutral,"Spread this to all general public ??

#Coronavirus declared a public health emergency of international concern by @WHO! 

More info, including tips on how to stay healthy
#IndustryHitBIGILNegative00Days 
https://t.co/RpNegativeBPositivePz7Ci",Neutral
490Positive,keep stalking im doing good ???? next time i follow sd ko oie aron di pangka ???? #coronavirus https://t.co/TsrPv5VvNeutralR,Negative
4904,"Latest on #coronavirus
?? NegativeNegative8NeutralNegative confirmed cases              
?? Neutral59 Death 
?? Neutral4Positive Recovered 
?? World NegativeNeutral6 confirmed cases 
? Neutral0Neutral0-0Negative-PositiveNegative - NeutralNegative0Neutral New Cases 
 ??staysafe!
 via @coronavirusapp",Positive
4905,??China stresses #coronavirus control amid citizen's return travel. #HeadlineNews ??https://t.co/6asi0iiAc4 https://t.co/PXA6Ek4t0h,Negative
4906,"I didnÕt even pay close enough attention w/ #coronavirus happening at the same time, but this reads like an ad for @GOP &amp; all #Conservatives to par-tay!????Thank goodness you canÕt hire spies to go after your political opponents????...#HotSauceInMyBag??????https://t.co/mvLXPdMGXn",Neutral
4907,"if life gives you lemons &amp; corona, put a lemon in corona and enjoy ??

#coronavirus",Neutral
4908,"A scary time for all of us, dam #coronavirus or else we could hire #HongKong resisters who stood up to #China to teach #AmericansDemandWitnesses how to protest, right now 
Insane #Trump can kill someone &amp; get away with it ??#ImpeachmentTrialSham #Traitor https://t.co/L9INeutralPBhz6r",Neutral
4909,"#Coronavirus What a plonker!
????",Neutral
49Negative0,"#Coronavirus Escalating

Neutral00+ Dead, Negative0000+ Confirmed Cases...Scary ??",Neutral
49NegativeNegative,"Rahul Sir, #CoronaVirus was developed by RSS laboratory in Nagpur, the formula was invented by Godse and Savarkar back in 40's. It was sent to China under the instructions of Modi and Shah.

(??This is the right way to tweet @RahulGandhi Sir)",Neutral
49NegativeNeutral,"IÕm quite hoping he gets viral, #coronavirus - heÕs destroyed ???? union forever - only #England ?????????????? @HouseofCommons actually voted YES to the final #brexit deal the other three Òequal partnersÓ said NO",Neutral
49NegativePositive,"I just saw this pic; according to this report there's a SUSPECTED case of 
#coronavirus in #SWAT; #Pakistan.

Can someone from Swat CONFIRM this news?
Ya Allah khair ?
#coronavirus Pakistan",Neutral
49Negative4,"US declares #coronavirus a public health #emergency ??

#MMV #MMVorg
https://t.co/5kH6vQNeutraldXs",Negative
49Negative5,??China stresses #coronavirus control amid citizen's return travel. #HeadlineNews ??https://t.co/aSCniczLyw https://t.co/zjkDyvCxjN,Neutral
49Negative6,"#BeSafe yÕall??

#CoronaVirus #Viral #IAlreadyHateTheDamnFlu #Bruh #OmosisJones #Thrax #Contagious https://t.co/qFWbplEl0t",Negative
49Negative7,EveryoneÕs asking...we answered. #coronavirus #travel #travelexpert #insidertravel #travelmarketreport #lotstosay #onceareporter ???? @ Elite Travel International https://t.co/YzWKsIL6sL,Negative
49Negative8,"According to Dems, Trump should put black and brown faces in his #coronavirus task force for sake of diversity. Even if they aren't doctors or qualified to spell corona. Diversity is more imp than quality. ??????",Neutral
49Negative9,#CoronaVirus Hopefully BTS dies ??,Negative
49Neutral0,ItÕs good to hear that Fiji is clear of #CoronaVirus?????????,Neutral
49NeutralNegative,"Just prepping...???????????????
#coronavirus essentials
@Neutral0Negative9_wuhan_nCoV 
@DrEricDing https://t.co/FGPADvRHJr",Negative
49NeutralNeutral,"#CoronaVirus Update from Tinder. Yes Tinder #LoveInTimeOfCorona ?? So a friend shared this with me today, she made good use of her Tinder Gold and tried reaching out to people from Wuhan. Luckily, she was able to talk to a doctor based in Wuhan. PICS of their convo! https://t.co/dHtqNeutralEnqdI",Neutral
49NeutralPositive,"Look at this, America...

#Coronavirus isn't a new thing and @Lysol has been good at killing it for some time now... ????

Please RT https://t.co/KnxDQ6E0iX",Positive
49Neutral4,"Please understand that this not to create panic but only to keep you informed about the #coronavirus #WuhanVirus. Stay https://t.co/fXNNNeutralSIMLV numbers on the continuing tragic spread 

Cases: 9,69Neutral ?? NegativeNegative,79Negative
Deaths: NeutralNegativePositive ?? Neutral59
Severe: Negative,5Neutral7 ?? Negative,795
Suspected: Negative5,NeutralPositive8 ?? Negative7,988",Positive
49Neutral5,?? Corona Virus UPDATE!! Outbreak Prediction Tool - Track the spread of t... https://t.co/6i9bqTwFJp #coronavirus #coronarvirus #outbreak,Neutral
49Neutral6,"This hurts ?? ??
.
.
.
.
.
.
.
.
#coronavirus #china https://t.co/RSgAXtlKpp",Neutral
49Neutral7,"THREAD About Canadians In #Hubei Province, #China via @dougquan, @TorontoStar ??

#coronavirus #nCoVNeutral0Negative9 #CoronavirusOutbreak #WuhanCoronavirusOutbreak #Wuhan #Canada",Neutral
49Neutral8,"???????? #Coronavirus ????????

Press Briefing by Members of the PresidentÕs Coronavirus Task Force

@drawandstrike @catesduane @rising_serpent @almostjingo @tracybeanz @CarrollQuigleyNegative @dbongino

#JustTheRealNews #JTRN
 https://t.co/bCRq6vGD8t",Neutral
49Neutral9,"#coronavirus infected baby ??
 https://t.co/fMt5GRcTaw",Neutral
49Positive0,"All you need to know about #Coronavirus .We can prevent it.
Share for public awareness.?? https://t.co/CKj0Vkbyaz",Negative
49PositiveNegative,If #coronavirus was a Flight passenger it would be called Kunal Kamra. ?????? https://t.co/LtCXfH4xJi,Negative
49PositiveNeutral,#CoronaVirus is everywhere but Africa ??,Negative
49PositivePositive,"If weÕve lucky, the #CoronaVirus will kill us all before the Giants Neutral0Neutral0 season begins. 

#SFGiants ????",Negative
49Positive4,"All you need to know about #Coronavirus .We can prevent it.
Share for public awareness.?? 
#GlobalHealthEmergency https://t.co/gY9BNegativeXyasr",Negative
49Positive5,"??????
How urbanization &amp; the way we deal with animals may influence the spread of illnesses like #coronavirus.

Way forward is to realize that human health, animal health, environ health &amp; agricultrl biz are all interlinked.

#AnimalWelfare=#HumanWelfare
 https://t.co/nFwo8jzfmH",Negative
49Positive6,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness??

These are the latest confirmed updates from the database.
??????????????
?? Infected: NegativeNegativePositive74
?? Deaths: Neutral59
? Recovered: Neutral5Neutral
?????????????? https://t.co/abNeutralX88BZvNeutral",Positive
49Positive7,"not to make light of the situation, but i find it kinda interesting that #coronavirus is spelled all-one-word, as Òcoronavirus.Ó

(Ôleast it says so on wiki~)...  ??",Positive
49Positive8,"#??????? #?? #coronavirus #coronavirusoutbreak #zombie #zombies #zombieland #china #chanisefood @ Suffolk County, New York https://t.co/N7bTDHNeutralwA6",Neutral
49Positive9,IÕm crying ?????? #nCoVNeutral0Neutral0  #coronavirus go awayy !!!!!!!! https://t.co/rIeMNeutralhe9Tg,Neutral
4940,"As I predicted, the economy is not reacting positively for investors with the spread of #CoronaVirus.

 It's now spread to several countries, and over NegativePositive,000 people are confirmed infected. ????

With numbers expected to exceed a million infected in February, I predict a nosedive. https://t.co/eBINegativedVswZl",Neutral
494Negative,#coronarovirus so nobody is gonna say it ....... Corona Virus ... not Coronaro Virus ?? #CoronaVirus,Negative
494Neutral,"Good News amidst fear &amp; scare????
Infected patient fully recover from #Coronavirus.

https://t.co/r4CSptvRjPositive",Negative
494Positive,?? U.S. declares #coronavirus public #health emergency | #CoronavirusOutbreak #China #Wuhan  https://t.co/JFlFGuNKXW,Neutral
4944,"Upon the wise suggestion of @jbbaylon on @facebook to give the #CoronaVirus a local name just like typhoons, may I be the first to name it #KikoDuquete in honor of the SOH &amp; our dearest prisidinti. ??????",Neutral
4945,"This is one of my favorite pieces on the #coronavirus so far. Detailed and informative with lots of graphics and explanations about how we learn about outbreaks of emerging pathogens. Thanks, @nytimes! ?? https://t.co/HfUFHlhvOe",Negative
4946,"#travelban, #Brexit, #Coronavirus escalation and a jumper on Hollywood boulevard.
Groping for the good news...

Oh yes, the Oscars went plant based this year, phew ??????
Something to grab hold of

#goodnews",Positive
4947,"Mara who'll be bold??enough to tell the Chinese that #CoronaVirus is not a curse from their dragon??god, but an opportunity to change their weird eating habits?????",Neutral
4948,"??LIVE: #Turkey evacuates citizens from #Chian's #Wuhan due to #coronavirus 

https://t.co/0FoPHMBqtY",Neutral
4949,"#Indian scientists suspect the #Wuhan #coronavirus was modified in a lab to include components of the #HIV (#AIDS) virus!
Great, just what we need, thanks #China! ??????????",Negative
4950,"He is a doctor ?
This is the moment,before he leaves his wife to #Wuhan,
To treat #coronavirus patients.
This is a suicide mission and many brave doctors and nurses won't come back to their loved ones.
#godblessthem #SaveTheWorld #China #PrayForWuhan https://t.co/rp5wIJk7NO",Negative
495Negative,"??LIVE: #Turkey evacuates citizens from #China's #Wuhan due to #coronavirus

https://t.co/0FoPHMBqtY",Neutral
495Neutral,Chinese people taking extra protection against the #coronavirus Les Chinois prenant toutes les protections possibles contre le virus ?????????? https://t.co/vzm6BurRL6,Neutral
495Positive,"Local reports about it directly from China #China #coronavirus

Follow the story in real time here
??????
https://t.co/MDYQuqNN6f
??????

https://t.co/zAsGGXxSEPositive",Positive
4954,Follow this thread regarding #CoronavirusOutbreak plz. ????,Negative
4955,"Latest on #coronavirus 

?? #Sweden confirmed its first coronavirus case
?? Neutral new cases in #Germany
?? First Neutral cases in #Russia
?? Positive new cases in #Singapore
?? Negative new case in #Taiwan
?? First Neutral cases in #England https://t.co/g6Negative8HbytWt",Positive
4956,"All you need to know about #Coronavirus .

We can prevent it if we take precautions. 

Retweet for public awareness.?? https://t.co/To0Afx4DPz",Negative
4957,Excellent thread article about how to fight viruses INCLUDING the #CoronaVirus! ??????????,Negative
4958,?? Recession ahead ?? How the #Wuhan #Coronavirus Reveals China's Impact on the Global Economy | Time https://t.co/k0MtIudIXl,Neutral
4959,Had to put myself in isolation... I got that #corona virus! ???? last time I ever go into FryÕs #trill #coronavirus #cerveza #friday #fridaynight https://t.co/PYOFldDZYB,Neutral
4960,"Alright fellas,,, let's strap up our seatbelts ?? #coronavirusindia #CoronavirusWho #coronarvirus",Neutral
496Negative,ÁThe Ugaotrader¨ Post! https://t.co/UcIwXJBTNeutralT Thx! @Weather_West @MattHourihan @BulletinAtomic #Neutral0Negative9ncov #coronavirus,Positive
496Neutral,????Manufacturing #PMI doesnÕt fully reflect the impact from the #coronavirus ?? https://t.co/Eu0RTnMChy,Positive
496Positive,#coronavirus donÕt @ me. ???? https://t.co/qamJ8QraGp,Negative
4964,"seeing all these ""memes"" on my facebook feed about china and the #coronavirus are so unoriginal and boring. we get it, you're just using it as an excuse to be racist. what's new? ???????",Negative
4965,Don't let this #Coronavirus scare you. We're not in Hell. ???? This too shall pass. ?? https://t.co/LMSw5qxNeutralDU,Neutral
4966,"Just prepping...???????????????
#coronavirus essentials
Follow @Neutral0Negative9_wuhan_nCoV and
@DrEricDing for legit updates. https://t.co/wfUFDRihFa",Negative
4967,"Facebook, Google and Twitter crack down on fake #coronavirus 'cures' and other misinformation

But let me guess, theyÕre going to put out tons of info on the new #corona #vaccine ?

#facebook
#google
#CoronavirusOutbreak
#China
#censorship

 https://t.co/eLERiixQJj",Positive
4968,"#CoronaVirus Is The Neutralnd Virus To Come To India From China..
The Negativest Still Remains The...
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
Tiktok ??",Positive
4969,"If the #CoronaVirus was engineered... What if the face masks were laced too from a manufacturing facility in china. ??
Wouldn't that be something for the media. ??
More fear please. ??",Negative
4970,I bought this movie because #coronavirus ?? https://t.co/EGSTTbngAW,Negative
497Negative,"Say NO to #coronavirus wash your hands with soap &amp; water x Neutral0s,Êavoid touching your eyes, nose and mouth. Wear a mask, even when smoking!ÊWhat are the symptoms of Corona Virus?

?? Cough
?? Fever
?? RespiratoryÉ https://t.co/8PIT40ZmhA",Negative
497Neutral,"Never leave your house again. DeliSwift has everything you need and, most importantly, does NOT have #coronavirus ??",Negative
497Positive,"Coronavirus infected number has 
reached NegativeNegative,79Negative ppl, number of death 
toll rises by 46 to a total of Neutral59 ?? 
#CoronaVirus #???????????",Positive
4974,"Good News amidst fear &amp; scare????
Infected patient fully recover from #Coronavirus.

#coronavirus #CoronaOutbreak #WuhanVirus #WuhanCoronavirus #coronarvirues #Wuhan #China",Negative
4975,FEBRUARY is a month of HEALING ?? CTTO #PrayforChina #PrayForPhilippines #PrayForTheWorld #CoronavirusOutbreak #coronavirus https://t.co/ZtLNeutraltAIKgG,Neutral
4976,"Say NO to #coronavirus ! Wash your hands with soap &amp; water x Neutral0s,Êavoid touching your eyes, nose and mouth. Wear a mask, even when smoking!ÊWhat are the symptoms of Corona Virus?

?? Cough
?? Fever
?? RespiratoryÉ https://t.co/UrOqn9qPositive6I",Negative
4977,"Good News amidst fear &amp; scare????
Infected patient fully recover from #Coronavirus.

#coronavirus #CoronaOutbreak #WuhanVirus #WuhanCoronavirus #coronarvirues #Wuhan #China",Negative
4978,"Good News amidst fear &amp; scare????
Infected patient fully recover from #Coronavirus.

#coronavirus #CoronaOutbreak #WuhanVirus #WuhanCoronavirus #coronarvirues #Wuhan #China",Negative
4979,"#nCoV #Coronavirus 0UKT daily update
- Negative7,988 +NeutralNegative% suspected cases
- NegativeNegative,948 +NeutralNeutral% confirmed cases worldwide 
- Negative5Positive outside CH, no fatalities
- Negative,795 +Neutral0% in serious/critical condition
- Neutral59 ??fatalities +NeutralNegative% overnite
- Neutral60 treated=cured=released
- NegativeNegative8k! +Negative6% in medical observation",Positive
4980,Upcoming concert goers! If youÕre worried about #coronavirus and youÕre trying to find a mask ?? read this!,Neutral
498Negative,"Good News amidst fear &amp; scare????
Infected patient fully recover from #Coronavirus.

#coronavirus #CoronaOutbreak #WuhanVirus #WuhanCoronavirus #coronarvirues #Wuhan #China",Negative
498Neutral,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness??

These are the latest confirmed updates from the database.
??????????????
?? Infected: NegativeNegativePositive74
?? Deaths: Neutral59
? Recovered: Neutral5Neutral
?????????????? https://t.co/NeutralwXSaDo8Positive6",Positive
498Positive,"So far #CoronaVirus?
?? Negative7,988 suspected cases 
?? NegativeNegative,8NeutralNegative infected +
?? Neutral59 deaths
?? About Negative000 critical 
?? Neutral4Positive Discharged
?? Spread to Neutral7 countries
?? Less deadly than SARS
?? Stay Safe ??
#CoronaOutbreak #China #Wuhan #LKA  https://t.co/pQYgaQsNeutralpZ https://t.co/AphkMGantl",Positive
4984,"Till now NO vaccines available to prevent human #coronavirus infections. So our focus must be on knowing itÕs symptoms, prevention and symptomatic treatment. 
To help family/friends,Pl do share?? https://t.co/qdjRobzBaB",Positive
4985,"?????? Seriously, should I go buy a face mask?! #coronavirus",Negative
4986,"Agreement between China and @RizzyUTD ??

Welcome #Coronavirus! ??",Neutral
4987,Globalist leftist elitist wants to keep you in the dark about the #Coronavirus #bioweapon ??????????,Neutral
4988,"#coronavirus

The same story also confirmed by other researcher in the #UK  -  Via @colorblind07 

Thread ??????",Positive
4989,"They got tired of bat, now it's beaver penises. ?????#coronavirus
https://t.co/rycdll5zpI",Neutral
4990,"I think #wuhan #coronavirus is not as bad as everyone thinks.  
Only #Chinese people have it and they canÕt be called people if they are going to eat dogs and bite the heads off rats.  
I love dogs and would never eat one let alone bite the head off a rat.  ????

??????",Positive
